title,baidu_link,baidu_pwd
《安迪密恩的觉醒（精制多看版）》[美]丹·西蒙斯（作者）epub+mobi,https://pan.baidu.com/s/1SVC4pV6jgwUfjsE1ii7f7w,ditl
《无人爱我》[英]D.H.劳伦斯（作者）epub+mobi+azw3,https://pan.baidu.com/s/1Qpm1z71zLUM7NPkP0DPqYg,u8ge
《呼啸山庄（精制多看版）》[英]艾米莉·勃朗特（作者）epub+mobi,https://pan.baidu.com/s/1sZSzg97I7cGm9s353eYDew ,adsv
《倾城之恋（精制多看版）》张爱玲（作者）epub+mobi,https://pan.baidu.com/s/14dBGqrAh_aRT1BXNk6Z2uQ  ,7p4i
《横刀（自制）》城郭如旧（作者）epub+mobi,https://pan.baidu.com/s/1H1jo1f0swNSeQlx5plRkEw,fsih
《创新公司：皮克斯的启示》[美]卡特姆&华莱士（作者）epub+mobi+azw3,https://pan.baidu.com/s/1FqdUpCP0hAobhWLiwiWx2g,wnlr
《尋秦記(好讀舊版，繁体)》黃易（作者）epub+mobi,https://pan.baidu.com/s/12VJ0l7if7ofrdu6euBstLg,hkj9
《寻圣光的人》[美]玛蒂娜·莱维特（作者）epub+mobi+azw3,https://pan.baidu.com/s/1VpgDULm0RpcGcxx2L1TEnQ,5wuk
《夜封门（自制）》黑桃八（作者）epub+mobi,https://pan.baidu.com/s/1nqCWbVUFBEGTpOeEqya1uw,fgg1
《魏晋南北朝诗歌变迁》朱光宝（作者）epub+mobi+azw3,https://pan.baidu.com/s/1R6z0q3RkurLJ9hIKeMLDYQ,0bz6
《中华雅文华经典：文房四谱》[宋]苏易简（作者）epub+mobi+azw3,https://pan.baidu.com/s/1yXmMua8xRqS8fYlgrvNzRQ,x0xk
kindle人全站资源分享-精品资源区21到30页,http://pan.baidu.com/s/1gfHfcjx,7iam
kindle人全站资源分享（2）-精品资源区11到20页,http://pan.baidu.com/s/1dF4XPXB,yyu7
kindle人全站资源分享（1）-精品资源区1到10页,https://pan.baidu.com/s/1kWDevbx ,62kq
《冷暴力》[法]玛丽·弗朗斯·伊里戈扬（作者）epub+mobi,https://pan.baidu.com/s/16xgfBADq3h0AwZmJ2vA4mw,27fj
kindle人全站资源分享-精品资源区31到40页,https://pan.baidu.com/s/1mjiAiIs ,dy1m
《小团圆（精制多看版）》张爱玲（作者）epub+mobi,https://pan.baidu.com/s/18ELVJTyRGOqB5kop0VFKiw,gypw
《我在印度的701天》郭菲（作者）epub+mobi+azw3,https://pan.baidu.com/s/1gRuFMQMizYWGj5EL7zsMlA ,92nk
《七年》[瑞士]彼得·施塔姆（作者）epub+mobi+azw3,https://pan.baidu.com/s/1sWoKTwf-3I5H3vPEKhVfhQ,ed8d
《红血女王三部曲（套装共3册）》维多利亚•艾薇亚德（作者）epub+mobi+azw3,https://pan.baidu.com/s/1Mt56VUdQ-fTAmUaMfmsi4w,8rze
《被打断的近代化》黄波（作者）epub+mobi+azw3,https://pan.baidu.com/s/1WLlOjIp4NkKSDK3x6adQYw,yr8l
《简·爱（精制多看版）》[英]夏洛蒂·勃朗特（作者）epub+mobi,https://pan.baidu.com/s/1325CPdxRw1rz--og0bYuIg,sm6i
《长寿的基因》[美]普雷斯顿·埃斯特普（作者）epub+mobi+azw3,https://pan.baidu.com/s/1bHnXY2mC4JU1kQwG6qDVmw,86vg
《巡狩大明（自制）》神灯（作者）epub+mobi,https://pan.baidu.com/s/154F7_441d3qi5o5OIYkjAQ,w0qe
《夏墟（自制）》拉风的树（自制）epub+mobi,https://pan.baidu.com/s/1-0PyrGlGvnGLKZU2ZSSbuA,j390
《和你的世界谈谈（自制）》桃桃一轮（作者）epub+mobi,https://pan.baidu.com/s/19QSMBFX-niZXCrAvQUMkNA,n8wa
《真水无香》朱良志（作者）epub+mobi+azw3,https://pan.baidu.com/s/1Sn8GEKQMS7_ncw3JNzjm9g,gjft
《光与暗的生灵》[美]罗杰•泽拉兹尼（作者）epub+mobi+azw3,https://pan.baidu.com/s/1NKj07Q8G8rDoS9QxpqZnig,lx2j
《机破星河（自制）》当年离歌（作者）epub+mobi,https://pan.baidu.com/s/1RcEEUD97CYns5w5_IkBxSw,b9df
《人格裂变的姑娘》[美]奥尔加•特鲁西略（作者）epub+mobi+azw3,https://pan.baidu.com/s/1fzzW19CTtfJwQ4ck_uX_WQ,r91d
《英伦魔法拾遗》[英]苏珊娜·克拉克（作者）epub+mobi+azw3,https://pan.baidu.com/s/1Oy_9BYpmjtvcobO0TAUnqw,a8zs
《非暴力沟通》[美]马歇尔•卢森堡（作者）epub+mobi+azw3,https://pan.baidu.com/s/1BvRj-bGsNDbqwGbgqTcIYg,npw9
